4,3,4,3,2,2,4,2,2,8,8,16,24,16,1,1,1,16,16,64,4,2,2,78.70703887939453
3,2,3,4,4,1,1,2,1,8,12,12,12,12,1,1,1,8,16,16,2,4,2,79.47636413574219
4,3,3,1,4,1,4,4,1,24,24,36,54,36,1,2,4,32,32,128,2,8,8,81.82156372070312
1,2,3,3,2,1,4,4,2,8,16,24,36,24,2,1,4,32,32,64,8,4,8,79.78657531738281
1,4,2,3,1,1,1,2,4,24,24,48,72,48,4,2,2,64,64,128,4,2,2,81.99528503417969
1,4,1,3,1,1,4,4,2,24,36,54,80,54,4,2,1,32,64,64,8,2,4,82.4419937133789
1,4,2,4,2,4,4,4,2,16,32,64,64,64,2,4,1,128,64,128,8,2,2,82.95073699951172
2,4,4,4,2,4,1,2,1,16,32,48,80,48,4,1,1,32,128,128,2,4,8,82.72738647460938
1,3,4,2,2,2,2,2,1,24,36,64,80,64,1,4,1,64,128,128,2,4,2,82.81424713134766
4,1,3,2,2,1,2,1,2,8,16,32,64,32,2,1,4,64,64,128,2,2,4,81.1639175415039
3,3,4,1,2,1,1,1,1,8,12,24,36,24,2,2,1,16,32,64,8,4,2,79.01725006103516
4,3,1,2,4,2,2,1,2,24,24,24,36,24,2,4,1,32,32,64,2,4,4,81.46172332763672
3,4,1,4,4,1,4,2,2,8,12,24,24,24,4,2,2,16,16,32,4,4,4,79.07929229736328
3,4,4,3,1,1,1,2,4,16,16,24,36,24,1,4,1,16,32,128,8,4,2,81.10187530517578
2,3,4,1,1,1,1,1,2,8,16,16,24,16,4,2,2,16,16,64,2,8,2,78.58295440673828
3,1,4,3,2,2,4,1,2,8,8,8,16,8,2,2,2,8,16,64,8,2,4,76.64722442626953
4,3,2,3,4,2,1,1,1,24,36,54,80,54,4,4,1,32,64,128,8,8,4,83.1740951538086
2,3,2,3,2,2,2,1,1,8,12,18,18,18,1,2,1,32,16,16,4,2,4,78.91798400878906
2,1,1,4,2,2,2,1,2,16,32,48,48,48,4,1,2,32,32,64,8,8,8,82.28067779541016
2,4,2,3,2,1,2,2,2,8,8,8,16,8,1,4,2,8,16,16,4,8,4,76.54795837402344
1,2,2,1,4,4,1,1,1,16,16,32,32,32,1,2,1,32,64,64,8,4,4,82.16900634765625
2,4,3,3,2,4,1,4,1,24,24,24,48,24,1,1,4,16,64,64,4,4,8,82.1565933227539
3,3,4,4,2,2,4,4,2,24,36,64,72,64,2,1,1,128,64,64,8,8,2,83.86896514892578
1,3,1,1,4,4,1,1,2,16,32,32,64,32,4,1,1,64,64,64,8,2,2,82.45439910888672
2,3,2,4,1,1,4,1,2,24,48,64,80,64,1,1,4,64,64,64,8,2,2,83.47189331054688
2,2,2,4,2,4,1,1,4,8,16,16,16,16,4,4,1,16,16,64,2,8,8,79.92306518554688
1,2,4,2,4,1,2,2,2,24,24,48,80,48,4,2,1,32,64,64,4,2,4,82.83906555175781
3,2,4,4,4,1,4,1,1,24,48,64,80,64,2,4,4,64,64,128,8,2,8,83.49671173095703
3,3,4,4,1,2,2,4,2,24,24,48,48,48,1,4,1,32,32,128,8,8,4,82.21863555908203
3,3,1,1,1,1,4,2,4,16,24,24,48,24,1,1,2,32,64,64,8,8,4,80.54349517822266
1,1,1,1,2,2,2,2,4,8,16,16,16,16,1,4,4,32,16,64,8,4,2,79.19096374511719
4,2,4,2,1,4,2,4,1,8,12,24,48,24,1,1,2,16,64,64,2,8,4,81.15150451660156
2,4,3,2,2,2,1,1,4,16,16,32,48,32,2,2,4,64,64,128,8,8,4,80.64276123046875
4,1,1,3,1,2,1,2,1,8,16,16,32,16,1,2,4,16,32,64,8,4,8,79.69971466064453
3,4,2,3,4,2,4,1,2,8,12,24,24,24,1,1,2,16,16,32,4,2,8,80.97779083251953
1,3,2,2,2,1,4,2,2,16,16,32,48,32,4,2,1,64,32,32,4,2,8,80.64276123046875
4,1,3,1,4,2,4,4,1,24,36,54,80,54,1,4,2,32,64,64,2,8,4,83.37262725830078
4,1,1,2,1,2,1,4,4,24,48,64,80,64,4,1,4,64,128,128,2,8,4,83.9186019897461
3,1,1,3,2,1,1,2,1,16,24,24,36,24,1,4,1,16,32,64,2,2,4,79.93547821044922
3,4,3,3,4,2,1,1,1,8,16,24,36,24,4,4,4,16,64,64,8,2,4,80.79166412353516
3,1,3,1,2,4,4,2,2,8,12,24,24,24,1,1,1,16,32,32,8,2,4,79.57563018798828
2,1,1,2,2,1,4,1,2,24,48,48,48,48,2,4,2,32,32,64,2,2,8,82.81424713134766
2,3,2,3,1,4,1,2,4,16,16,32,64,32,2,2,1,32,64,64,2,2,8,82.46680450439453
4,2,4,2,4,1,2,4,4,8,8,8,8,8,2,1,4,8,8,16,4,4,8,77.54064178466797
1,3,2,4,4,1,2,2,4,16,32,48,80,48,4,2,2,32,64,128,8,2,4,81.98287963867188
4,3,4,2,4,4,1,2,2,8,8,12,12,12,1,1,2,8,8,32,2,2,2,78.91798400878906
2,1,4,4,1,4,4,1,1,16,32,32,48,32,2,1,2,32,64,64,4,2,4,81.87120056152344
1,3,2,2,2,4,2,1,1,8,16,24,24,24,1,2,2,32,16,64,4,2,2,79.82379913330078
3,4,4,2,4,2,4,1,4,16,24,36,36,36,4,1,1,64,32,64,8,8,8,82.28067779541016
2,2,3,4,1,1,4,1,4,24,48,64,80,64,4,2,2,128,128,64,2,4,2,83.26094818115234
2,3,1,2,4,1,2,4,4,16,32,32,32,32,2,4,2,32,32,32,4,4,4,81.00260925292969
4,2,1,4,2,4,2,4,2,8,8,16,16,16,4,4,2,32,32,32,8,2,8,80.24568939208984
